identifier,smiles,true_gwp100,true_log10_gwp,true_lifetime_years,true_log10_lifetime,pred_log10_gwp,abs_err_log10_gwp,ens_std_log10_gwp,max_tanimoto_to_train,mean_top5_tanimoto,ad_flag,n_heavy,selection_strategy,nodepool,psi4_threads
Methyl iodide,CI,5.0,0.6989700043360189,0.02,-1.6989700043360187,-1.4180798011062608,2.11704980544228,0.1486920286634869,0.25,0.1919047619047618,out-of-distribution,2,novelty,d48sv6small,8
Nitrogen trifluoride,FN(F)F,18500.0,4.267171728403014,569.0,2.755112266395072,3.352060501377713,0.9151112270253008,0.0836988483679962,0.1666666666666666,0.1421428571428571,out-of-distribution,4,novelty,d48sv6small,8
Sulfuryl fluoride,O=S(=O)(F)F,4880.0,3.6884198220027113,36.0,1.5563025007672873,1.4348128088328482,2.253607013169863,0.1845858022357485,0.1333333333333333,0.1209477124183006,out-of-distribution,5,novelty,d48sv6small,8
HFC-272ca,CC(C)(F)F,144.0,2.1583624920952498,1.4,0.146128035678238,1.047177789028274,1.1111847030669757,0.0946482054212923,0.5555555555555556,0.3921717171717171,edge,5,error,d48sv6small,8
(z)-hex-2-en-1-ol,CCC/C=C\CO,0.003,-2.5228787452803374,0.0,-6.0,-1.651064792328933,0.8718139529514044,0.2684811115266487,0.25,0.1951355661881977,out-of-distribution,7,novelty,d48sv6small,8
Sulfur hexafluoride,FS(F)(F)(F)(F)F,26700.0,4.426511261364575,320.0,2.505149978319906,3.3921974300539057,1.0343138313106692,0.10260973278385,0.3333333333333333,0.1785714285714285,out-of-distribution,7,novelty,d48sv6small,8
HFC-365mfc,CC(F)(F)CC(F)(F)F,959.0,2.981818607170664,8.9,0.9493900066449128,2.186224825575306,0.795593781595358,0.1906088389551797,0.5384615384615384,0.3673414304993252,edge,9,uncertainty,d48sv6small,8
"Hexafluorobuta-1,3-diene",FC(F)=C(F)C(F)=C(F)F,0.5,-0.3010299956639812,0.0030116358658453,-2.521197539448111,-2.1586240629684665,1.8575940673044853,0.1362763881640041,0.5,0.3155844155844156,edge,10,error,d48sv6small,8
Hexafluorocyclobutene,FC1=C(F)C(F)(F)C1(F)F,132.0,2.12057393120585,1.0,0.0,1.3874337693584655,0.7331401618473843,0.0975723359334177,0.3529411764705882,0.2856941819790116,out-of-distribution,10,uncertainty,d48sv6small,8
"1,1,2,2,3,3-hexafluorocyclopentane",FC1(F)CCC(F)(F)C1(F)F,126.0,2.100370545117563,1.6,0.2041199826559248,2.069571318599277,0.0307992265182854,0.0962309371513764,0.3684210526315789,0.3296149464570517,edge,11,uncertainty,d48sv6small,16
Octamethyltri-siloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.325,-0.4881166390211256,0.019,-1.7212463990471711,-0.2251196574431937,0.2629969815779319,0.1200055526828477,0.6363636363636364,0.2283596837944664,out-of-distribution,13,uncertainty,d48sv6small,16
Octafluorocyclopentene,FC1=C(F)C(F)(F)C(F)(F)C1(F)F,82.0,1.9138138523837167,1.1,0.041392685158225,1.375618733604408,0.5381951187793086,0.0994196142741614,0.35,0.3198245614035088,edge,13,uncertainty,d48sv6small,16
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",OC1C(F)(F)C(F)(F)C(F)(F)C1(F)F,14.0,1.146128035678238,0.3,-0.5228787452803376,1.9651260786357447,0.8189980429575072,0.1071299866390125,0.3529411764705882,0.3187988482106129,edge,14,error,d48sv6small,16
Decamethyl-tetrasiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.176,-0.7544873321858502,0.014,-1.853871964321762,-0.343274073661295,0.4112132585245552,0.1524044885480253,0.5833333333333334,0.2122549019607843,out-of-distribution,17,novelty,d128sv6med,16
HFE-7300,CCOC(F)(F)C(C(F)(F)F)C(F)(F)C(F)(F)F,405.0,2.6074550232146687,5.24,0.7193312869837266,1.639960974242562,0.9674940489721068,0.1132738731218954,0.5,0.3944642857142857,edge,18,error,d128sv6med,16
