identifier,formula_published,cas,gwp100,lifetime_years,log10_gwp100,source,source_table_ref,raw_smiles,via,canonical_smiles,isomeric_smiles,inchikey,rdkit_formula,rdkit_mw,cluster_id,log10_lifetime
HG'-02,CH3O(CF2CF2O)2CH3,,240.0,1.7,2.380211241711606,Hodnebrog_2020,RoG_2020_Table_5,COC(C(OC(C(OC)(F)F)(F)F)(F)F)(F)F,pubchem_name,COC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC,COC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC,SOTHGFWOXYVWFW-UHFFFAOYSA-N,C6H6F8O3,278.018919812,5,0.2304489213782739
PFC-41-12,n‐C5F12,678-26-2,9780.0,410.0,3.9903388547876015,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,override_by_cas,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NJCBUSHGCBERSK-UHFFFAOYSA-N,C5F12,287.98083864,0,2.6127838567197355
HFE-7600 (Novec 1230 alt),C9H5F15O,297730-93-9,13.0,0.22,1.1139433523068367,Hodnebrog_2020,RoG_2020_T2,CCC(OC)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,override_by_cas,CCC(OC)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CCC(OC)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,UUOFQMKXGKKPKW-UHFFFAOYSA-N,C8H8F10O,310.04154707600003,206,-0.6575773191777937
Octafluoro-1-butene,CF3CF2CF=CF2,357-26-6,0.5,0.0164271047227926,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,C(=C(F)F)(C(C(F)(F)F)(F)F)F,pubchem_cas,FC(F)=C(F)C(F)(F)C(F)(F)F,FC(F)=C(F)C(F)(F)C(F)(F)F,ZVJOQYFQSQJDDX-UHFFFAOYSA-N,C4F8,199.98722576,205,-1.784438974222691
PFC-218,C3F8,76-19-7,9850.0,260.0,3.993436230497612,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)C(F)(F)C(F)(F)F,override_by_cas,FC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)F,QYSGYZVSCZSLHT-UHFFFAOYSA-N,C3F8,187.98722576,0,2.4149733479708178
PFC-C-318,c‐C4F8,115-25-3,10800.0,320.0,4.033423755486949,Hodnebrog_2020,RoG_2020_Table_3,FC1(F)C(F)(F)C(F)(F)C1(F)F,override_by_cas,FC1(F)C(F)(F)C(F)(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C1(F)F,BCCOBQSFUDVTJQ-UHFFFAOYSA-N,C4F8,199.98722576,12,2.505149978319906
PFC-31-10,n‐C4F10,355-25-9,10600.0,260.0,4.02530586526477,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,override_by_cas,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,KAVGMUDTWQVPDF-UHFFFAOYSA-N,C4F10,237.9840322,0,2.4149733479708178
PFC-51-14,n‐C6F14,355-42-0,9140.0,310.0,3.960946195733831,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,override_by_cas,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,C6F14,337.97764508,0,2.4913616938342726
PFC-61-16,n‐C7F16,335-57-9,8920.0,300.0,3.950364854376123,Hodnebrog_2020,RoG_2020_Table_3,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,pubchem_cas,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LGUZHRODIJCVOC-UHFFFAOYSA-N,C7F16,387.97445152,0,2.4771212547196626
(E/Z)-1-chloro-2-fluoro-ethene,(E/Z)‐CHCl=CHF,460-16-2,0.5,0.0049281314168377,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,C(=C/Cl)\F,pubchem_cas,FC=CCl,F/C=C/Cl,MTKHTBWXSHYCGS-OWOJBTEDSA-N,C2H2ClF,79.982905964,19,-2.3073177195030357
