identifier,formula_published,cas,gwp100,lifetime_years,log10_gwp100,source,source_table_ref,raw_smiles,via,canonical_smiles,isomeric_smiles,inchikey,rdkit_formula,rdkit_mw,cluster_id,log10_lifetime
Difluoro (methoxy)methane,CH3OCHF2,359-15-9,143.0,1.1,2.155336037465062,Hodnebrog_2020,RoG_2020_Table_5,COC(F)F,pubchem_cas,COC(F)F,COC(F)F,CGZAMBNIGLUBRY-UHFFFAOYSA-N,C2H4F2O,82.023021188,201,0.04139268515822508
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",C12H5F19O2b,920979-28-8,51.0,0.8,1.7075701760979365,Hodnebrog_2020,RoG_2020_Table_5,CCOC1(C(C(C(O1)(C(C(F)(F)F)(C(F)(F)F)F)F)(F)F)(F)F)C(C(F)(F)F)(C(F)(F)F)F,pubchem_cas,CCOC1(C(F)(C(F)(F)F)C(F)(F)F)OC(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C1(F)F,CCOC1(C(F)(C(F)(F)F)C(F)(F)F)OC(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C1(F)F,HJKBEHRDVJDQLU-UHFFFAOYSA-N,C12H5F19O2,541.9986155800001,200,-0.09691001300805639
HFC-125,CHF2CF3,354-33-6,3940.0,30.0,3.595496221825574,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)C(F)F,override_by_cas,FC(F)C(F)(F)F,FC(F)C(F)(F)F,GTLACDSXYULKMZ-UHFFFAOYSA-N,C2HF5,119.999841132,195,1.4771212547196624
HFC-134a,CH2FCF3,811-97-2,1600.0,14.0,3.204119982655925,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)CF,override_by_cas,FCC(F)(F)F,FCC(F)(F)F,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4,102.009262944,194,1.146128035678238
HFC-152a,CH3CHF2,75-37-6,172.0,1.6,2.2355284469075487,Hodnebrog_2020,RoG_2020_Table_3,CC(F)F,override_by_cas,CC(F)F,CC(F)F,NPNPZTNLOVBDOC-UHFFFAOYSA-N,C2H4F2,66.028106568,193,0.2041199826559248
HFC-227ea,CF3CHFCF3,431-89-0,3800.0,36.0,3.57978359661681,Hodnebrog_2020,RoG_2020_Table_3,C(C(F)(F)F)(C(F)(F)F)F,pubchem_cas,FC(C(F)(F)F)C(F)(F)F,FC(C(F)(F)F)C(F)(F)F,YFMFNYKEUDLDTL-UHFFFAOYSA-N,C3HF7,169.996647572,192,1.5563025007672873
HFC-236fa,CF3CH2CF3,690-39-1,9210.0,213.0,3.964259630196849,Hodnebrog_2020,RoG_2020_Table_3,C(C(F)(F)F)C(F)(F)F,pubchem_cas,FC(F)(F)CC(F)(F)F,FC(F)(F)CC(F)(F)F,NSGXIBWMJZWTPY-UHFFFAOYSA-N,C3H2F6,152.006069384,191,2.3283796034387376
HFC-245fa,CHF2CH2CF3,460-73-1,1010.0,7.9,3.004321373782642,Hodnebrog_2020,RoG_2020_Table_3,C(C(F)F)C(F)(F)F,pubchem_cas,FC(F)CC(F)(F)F,FC(F)CC(F)(F)F,MSSNHSVIGIHOJA-UHFFFAOYSA-N,C3H3F5,134.015491196,190,0.8976270912904415
HFE-263fb2,C3H5F3O,460-43-5,1.31,0.066,0.1172712956557642,Hodnebrog_2020,RoG_2020_T2,COCC(F)(F)F,pubchem_cas,COCC(F)(F)F,COCC(F)(F)F,OHLVGBXMHDWRRX-UHFFFAOYSA-N,C3H5F3O,114.02924944,189,-1.1804560644581312
HFE-356pcf2,CHF2CH2OCF2CHF2,,872.0,6.0,2.940516484932567,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)F)OC(C(F)F)(F)F,pubchem_name,FC(F)COC(F)(F)C(F)F,FC(F)COC(F)(F)C(F)F,XYUTZEMBPIRNFA-UHFFFAOYSA-N,C4H4F6O,182.016634068,188,0.7781512503836436
HFE-356pcf3,CHF2OCH2CF2CHF2,,508.0,3.5,2.70586371228392,Hodnebrog_2020,RoG_2020_Table_5,C(C(C(F)F)(F)F)OC(F)F,pubchem_name,FC(F)OCC(F)(F)C(F)F,FC(F)OCC(F)(F)C(F)F,PCTQNZRJAGLDPD-UHFFFAOYSA-N,C4H4F6O,182.016634068,187,0.5440680443502757
2-Fluoroethanol,CH2FCH2OH,371-62-0,0.5,0.0438056125941136,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,C(CF)O,pubchem_cas,OCCF,OCCF,GGDYAKVUZMZKRV-UHFFFAOYSA-N,C2H5FO,64.032443,186,-1.3584702419504098
HG-04,CHF2O(CF2CF2O)4CHF2,173350-38-4,4610.0,26.9,3.663700925389648,Hodnebrog_2020,RoG_2020_Table_5,C(OC(C(OC(C(OC(C(OC(C(OC(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pubchem_cas,FC(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)F,FC(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)F,DWWJRZATBWAPPZ-UHFFFAOYSA-N,C10H2F20O5,581.9582875640001,1,1.429752280002408
HFE-338mmz1,(CF3)2CHOCHF2,26103-08-2,3200.0,22.3,3.505149978319906,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)(F)F)(C(F)(F)F)OC(F)F,pubchem_cas,FC(F)OC(C(F)(F)F)C(F)(F)F,FC(F)OC(C(F)(F)F)C(F)(F)F,UNIYHTKWMKXESF-UHFFFAOYSA-N,C4H2F8O,217.997790444,184,1.3483048630481607
HFE-374pc2,C4H6F4O,512-51-6,12.5,0.15,1.0969100130080565,Hodnebrog_2020,RoG_2020_T2,CCOC(C(F)F)(F)F,pubchem_cas,CCOC(F)(F)C(F)F,CCOC(F)(F)C(F)F,HBRLMDFVVMYNFH-UHFFFAOYSA-N,C4H6F4O,146.035477692,183,-0.8239087409443188
CFC-114,CClF2CClF2,76-14-2,9990.0,189.0,3.9995654882259823,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(Cl)C(F)(F)Cl,override_by_cas,FC(F)(Cl)C(F)(F)Cl,FC(F)(Cl)C(F)(F)Cl,DDMOUSALMHHKOS-UHFFFAOYSA-N,C2Cl2F4,169.93131824,6,2.2764618041732443
CFC-115,CClF2CF3,76-15-3,10200.0,540.0,4.008600171761918,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(F)C(F)(F)Cl,override_by_cas,FC(F)(F)C(F)(F)Cl,FC(F)(F)C(F)(F)Cl,RFCAUADVODFSLZ-UHFFFAOYSA-N,C2ClF5,153.96086878,6,2.7323937598229686
HCFC-22,CHClF2,75-45-6,2060.0,11.9,3.3138672203691533,Hodnebrog_2020,RoG_2020_Table_3,FC(F)Cl,override_by_cas,FC(F)Cl,FC(F)Cl,VOPWNXZWBYDODV-UHFFFAOYSA-N,CHClF2,85.973484152,20,1.0755469613925308
HFC-23,CHF3,75-46-7,15500.0,228.0,4.190331698170292,Hodnebrog_2020,RoG_2020_Table_3,FC(F)F,override_by_cas,FC(F)F,FC(F)F,XPDWGBQVDMORPB-UHFFFAOYSA-N,CHF3,70.003034692,182,2.357934847000454
HCFE-235da2 (Isoflurane),C3H2ClF5O,26675-46-7,539.0,3.5,2.7315887651867388,Hodnebrog_2020,RoG_2020_T2,C(C(F)(F)F)(OC(F)F)Cl,pubchem_cas,FC(F)OC(Cl)C(F)(F)F,FC(F)OC(Cl)C(F)(F)F,PIWKPBJCKXDKJR-UHFFFAOYSA-N,C3H2ClF5O,183.971433464,181,0.5440680443502757
CFC-12,CCl2F2,75-71-8,11800.0,102.0,4.071882007306125,Hodnebrog_2020,RoG_2020_Table_3,FC(F)(Cl)Cl,override_by_cas,FC(F)(Cl)Cl,FC(F)(Cl)Cl,PXBRQCKWGAHEHS-UHFFFAOYSA-N,CCl2F2,119.9345118,11,2.0086001717619175
Perfluorotripentylamine,C15F33N,338-84-1,9300.0,500.0,3.9684829485539352,Hodnebrog_2020,RoG_2020_T2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,override_by_cas,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,AQZYBQIAUSKCCS-UHFFFAOYSA-N,C15F33N,820.95038026,3,2.6989700043360187
"1,1,1-Trifluoropropan-2-one",CF3C(O)CH3,421-50-1,0.5,0.0139630390143737,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,CC(=O)C(F)(F)F,pubchem_cas,CC(=O)C(F)(F)F,CC(=O)C(F)(F)F,FHUDAMLDXFJHJE-UHFFFAOYSA-N,C3H3F3O,112.013599376,180,-1.8550200485083985
"1,1,1-Trifluorobutan-2-one",CF3C(O)CH2CH3,381-88-4,0.5,0.0180698151950718,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,CCC(=O)C(F)(F)F,pubchem_cas,CCC(=O)C(F)(F)F,CCC(=O)C(F)(F)F,QBVHMPFSDVNFAY-UHFFFAOYSA-N,C4H5F3O,126.02924944,179,-1.7430462890644673
2-chloroethyl vinyl ether,ClCH2CH2OCH=CH2,110-75-8,0.5,0.0002737850787132,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,C=COCCCl,pubchem_cas,C=COCCCl,C=COCCCl,DNJRKFKAFWSXSE-UHFFFAOYSA-N,C4H7ClO,106.018542524,178,-3.5625902246063506
CFC-11,CCl3F,75-69-4,5870.0,52.0,3.7686381012476144,Hodnebrog_2020,RoG_2020_Table_3,FC(Cl)(Cl)Cl,override_by_cas,FC(Cl)(Cl)Cl,FC(Cl)(Cl)Cl,CYRMSUTZVYGINF-UHFFFAOYSA-N,CCl3F,135.90496126,11,1.7160033436347992
HG-01,C4H6F4O2,73287-23-7,222.0,3.4,2.346352974450639,Hodnebrog_2020,RoG_2020_T2,COC(C(OC)(F)F)(F)F,pubchem_cas,COC(F)(F)C(F)(F)OC,COC(F)(F)C(F)(F)OC,YUVROHVXUDSJJU-UHFFFAOYSA-N,C4H6F4O2,162.030392312,5,0.5314789170422551
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",(CF3)2CHOCHO,856766-70-6,282.0,3.1,2.450249108319361,Hodnebrog_2020,RoG_2020_Table_5,C(=O)OC(C(F)(F)F)C(F)(F)F,pubchem_name,O=COC(C(F)(F)F)C(F)(F)F,O=COC(C(F)(F)F)C(F)(F)F,RWCCLESWSUCGID-UHFFFAOYSA-N,C4H2F6O2,195.995898624,177,0.4913616938342727
HFE-7200,C6H5F9O,163702-05-4,60.0,0.77,1.7781512503836436,Hodnebrog_2020,anchor_curated_v1,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,override_by_cas,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DFUYAWQUODQGFF-UHFFFAOYSA-N,C6H5F9O,264.01966876000006,176,-0.11350927482751812
HFE-227ea,C3HF7O,2356-62-9,7520.0,54.8,3.876217840591642,Hodnebrog_2020,RoG_2020_T2,C(C(F)(F)F)(OC(F)(F)F)F,pubchem_cas,FC(OC(F)(F)F)C(F)(F)F,FC(OC(F)(F)F)C(F)(F)F,UDKWMTKIRQSDHF-UHFFFAOYSA-N,C3HF7O,185.991562192,175,1.7387805584843692
Perfluoroethyl formate,CF3CF2OCHO,313064-40-3,626.0,3.6,2.7965743332104296,Hodnebrog_2020,RoG_2020_Table_5,C(=O)O.C(C(F)(F)F)(O)(F)F,pubchem_name,O=CO.OC(F)(F)C(F)(F)F,O=CO.OC(F)(F)C(F)(F)F,ZUHQBFHCFALQFS-UHFFFAOYSA-N,C3H3F5O3,182.000235056,174,0.5563025007672873
"2,2,2-Trifluoroethyl formate",CF3CH2OCHO,32042-38-9,57.0,0.5,1.7558748556724917,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)(F)F)OC=O,pubchem_cas,O=COCC(F)(F)F,O=COCC(F)(F)F,CAFROQYMUICGNO-UHFFFAOYSA-N,C3H3F3O2,128.008513996,173,-0.3010299956639812
HFE-143a,CH3OCF3,421-14-7,647.0,4.9,2.810904280668701,Hodnebrog_2020,RoG_2020_Table_5,COC(F)(F)F,pubchem_cas,COC(F)(F)F,COC(F)(F)F,JRHMNRMPVRXNOS-UHFFFAOYSA-N,C2H3F3O,100.013599376,172,0.6901960800285137
Heptafluoroisobutyronitrile,(CF3)2CFCN,42532-60-5,2900.0,34.5,3.462397997898956,Hodnebrog_2020,RoG_2020_Table_5,CC(C#N)(C(F)(F)F)C(F)(F)F,override_by_cas,CC(C#N)(C(F)(F)F)C(F)(F)F,CC(C#N)(C(F)(F)F)C(F)(F)F,RPUVFOCIULTMTO-UHFFFAOYSA-N,C5H3F6N,191.016968416,171,1.5378190950732742
Halon-2401,CHBrFCF3,124-72-1,211.0,2.9,2.3242824552976926,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)(F)F)(F)Br,pubchem_cas,FC(Br)C(F)(F)F,FC(Br)C(F)(F)F,RZXZIZDRFQFCTA-UHFFFAOYSA-N,C2HBrF4,179.919775012,170,0.4623979978989561
"Perfluorotripropylamine, PTPA",N(CF2CF2CF3)3,338-83-0,9580.0,100.0,3.981365509078545,Hodnebrog_2020,RoG_2020_Table_5,C(C(N(C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(F)F,pubchem_cas,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,JAJLKEVKNDUJBG-UHFFFAOYSA-N,C9F21N,520.96954162,3,2.0
HFE-338pcc13 (HG-01),CHF2OCF2CF2OCHF2,188690-78-0,3480.0,13.4,3.5415792439465807,Hodnebrog_2020,RoG_2020_Table_5,C(OC(C(OC(F)F)(F)F)(F)F)(F)F,pubchem_cas,FC(F)OC(F)(F)C(F)(F)OC(F)F,FC(F)OC(F)(F)C(F)(F)OC(F)F,YLKPVUPQPLZCQV-UHFFFAOYSA-N,C4H2F8O2,233.992705064,1,1.1271047983648077
"1,3,3,4,4,5,5-heptafluorocyclopentene",cyc(‐CF2CF2CF2CF=CH‐),1892-03-1,47.0,0.6,1.6720978579357175,Hodnebrog_2020,RoG_2020_Table_5,C1=C(C(C(C1(F)F)(F)F)(F)F)F,pubchem_cas,FC1=CC(F)(F)C(F)(F)C1(F)F,FC1=CC(F)(F)C(F)(F)C1(F)F,AWDCOETZVBNIIV-UHFFFAOYSA-N,C5HF7,193.996647572,24,-0.2218487496163564
"1-Propene, 3,3,3-trifluoro-2-(trifluoromethyl)-",(CF3)2C=CH2,382-10-5,0.5,0.0281998631074606,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,C=C(C(F)(F)F)C(F)(F)F,pubchem_cas,C=C(C(F)(F)F)C(F)(F)F,C=C(C(F)(F)F)C(F)(F)F,QMIWYOZFFSLIAK-UHFFFAOYSA-N,C4H2F6,164.006069384,167,-1.5497529999011628
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",n‐C8F17CH=CH2,21652-58-4,0.5,0.0246406570841889,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,C=CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pubchem_cas,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NKAMGQZDVMQEJL-UHFFFAOYSA-N,C10H3F17,445.996329836,4,-1.6083477151670098
1-Chlorobutane,CH3(CH2)2CH2Cl,109-69-3,0.5,0.0123203285420944,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,CCCCCl,pubchem_cas,CCCCCl,CCCCCl,VFWCMGCRMGJXDK-UHFFFAOYSA-N,C4H9Cl,92.039277968,166,-1.9093777108309926
2-Chloropropane,CH3CHClCH3,75-29-6,0.5,0.0602327173169062,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,CC(C)Cl,pubchem_cas,CC(C)Cl,CC(C)Cl,ULYZAYCEDJDHCC-UHFFFAOYSA-N,C3H7Cl,78.023627904,165,-1.2201675437841284
"1,2-Dichloroethane",CH2ClCH2Cl,107-06-2,1.0,0.2245037645448323,0.0,Hodnebrog_2020,RoG_2020_Table_5,C(CCl)Cl,pubchem_cas,ClCCCl,ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N,C2H4Cl2,97.969005488,164,-0.6487763722226176
Chloroethane,CH3CH2Cl,75-00-3,0.5,0.1314168377823408,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,CCCl,pubchem_cas,CCCl,CCCl,HRYZWHHZPQKTII-UHFFFAOYSA-N,C2H5Cl,64.00797784,163,-0.8813489872307473
"3,3,4,4-tetrafluorocyclobutene",cyc(‐CH=CHCF2CF2‐),2714-38-7,27.0,0.2299794661190965,1.4313637641589874,Hodnebrog_2020,RoG_2020_Table_5,C1=CC(C1(F)F)(F)F,pubchem_cas,FC1(F)C=CC1(F)F,FC1(F)C=CC1(F)F,GHTJJDFBXCKNEO-UHFFFAOYSA-N,C4H2F4,126.009262944,162,-0.6383109385444528
"1,3,3,4,4-pentafluorocyclobutene",cyc(‐CH=CFCF2CF2‐),374-31-2,97.0,0.7,1.9867717342662448,Hodnebrog_2020,RoG_2020_Table_5,C1=C(C(C1(F)F)(F)F)F,pubchem_name,FC1=CC(F)(F)C1(F)F,FC1=CC(F)(F)C1(F)F,FNURRVLRQSNEFB-UHFFFAOYSA-N,C4HF5,143.999841132,24,-0.1549019599857432
HFE-236ca12 (HG-10),CHF2OCF2OCHF2,78522-47-1,6370.0,26.5,3.8041394323353503,Hodnebrog_2020,RoG_2020_Table_5,C(OC(OC(F)F)(F)F)(F)F,pubchem_cas,FC(F)OC(F)(F)OC(F)F,FC(F)OC(F)(F)OC(F)F,AENINUZHGRRKOE-UHFFFAOYSA-N,C3H2F6O2,183.995898624,161,1.423245873936808
HFE-329mcc2,C4H2F8O,134769-21-4,3070.0,22.0,3.4871383754771865,Hodnebrog_2020,RoG_2020_T2,C(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,pubchem_cas,FC(F)C(F)(F)OC(F)(F)C(F)(F)F,FC(F)C(F)(F)OC(F)(F)C(F)(F)F,QEROCSITFAXLCG-UHFFFAOYSA-N,C4HF9O,235.988368632,159,1.3424226808222062
HFC-134,CHF2CHF2,359-35-3,1330.0,10.0,3.123851640967086,Hodnebrog_2020,RoG_2020_Table_5,FC(F)C(F)F,override_by_cas,FC(F)C(F)F,FC(F)C(F)F,WXGNWUVNYMJENI-UHFFFAOYSA-N,C2H2F4,102.009262944,158,1.0
HFC-143,CH2FCHF2,430-66-0,382.0,3.6,2.582063362911709,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)F)F,pubchem_cas,FCC(F)F,FCC(F)F,WGZYQOSEVSXDNI-UHFFFAOYSA-N,C2H3F3,84.018684756,157,0.5563025007672873
HFC-152,CH2FCH2F,624-72-6,23.0,0.5,1.3617278360175928,Hodnebrog_2020,RoG_2020_Table_5,C(CF)F,pubchem_cas,FCCF,FCCF,AHFMSNDOYCFEPH-UHFFFAOYSA-N,C2H4F2,66.028106568,156,-0.3010299956639812
HCFC-225cb,CHClFCF2CClF2,507-55-1,596.0,5.9,2.7752462597402365,Hodnebrog_2020,RoG_2020_Table_5,C(C(C(F)(F)Cl)(F)F)(F)Cl,pubchem_cas,FC(Cl)C(F)(F)C(F)(F)Cl,FC(Cl)C(F)(F)C(F)(F)Cl,UJIGKESMIPTWJH-UHFFFAOYSA-N,C3HCl2F5,201.937546492,154,0.7708520116421442
HCFC-141,CH2ClCHClF,430-57-9,49.0,1.1,1.6901960800285136,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)Cl)Cl,pubchem_cas,FC(Cl)CCl,FC(Cl)CCl,NDKGUMMLYBINOC-UHFFFAOYSA-N,C2H3Cl2F,115.959583676,152,0.04139268515822508
1-Bromopropane,CH3CH2CH2Br,106-94-5,0.5,0.0410677618069815,-0.3010299956639812,Hodnebrog_2020,RoG_2020_Table_5,CCCBr,pubchem_cas,CCCBr,CCCBr,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,C3H7Br,121.973112324,149,-1.3864989655506534
"1,2-Dibromoethane",CH2BrCH2Br,106-93-4,1.0,0.243668720054757,0.0,Hodnebrog_2020,RoG_2020_Table_5,C(CBr)Br,pubchem_cas,BrCCBr,BrCCBr,PAAZPARNPHGIKF-UHFFFAOYSA-N,C2H4Br2,185.867974328,148,-0.6132002179614217
HFC-161,CH3CH2F,353-36-6,5.0,0.2190280629705681,0.6989700043360189,Hodnebrog_2020,RoG_2020_Table_5,CCF,pubchem_cas,CCF,CCF,UHCBBWUQDAVSMS-UHFFFAOYSA-N,C2H5F,48.03752838,146,-0.6595002376143908
HFE-245fa2,CHF2OCH2CF3,1885-48-9,922.0,5.5,2.964730921053629,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)(F)F)OC(F)F,pubchem_cas,FC(F)OCC(F)(F)F,FC(F)OCC(F)(F)F,ZASBKNPRLPFSCA-UHFFFAOYSA-N,C3H3F5O,150.010405816,145,0.7403626894942439
HFE-236fa,CF3CH2OCF3,20193-67-3,1160.0,7.5,3.0644579892269186,Hodnebrog_2020,RoG_2020_Table_5,C(C(F)(F)F)OC(F)(F)F,pubchem_cas,FC(F)(F)COC(F)(F)F,FC(F)(F)COC(F)(F)F,MWVZDOGOCGRMOE-UHFFFAOYSA-N,C3H2F6O,168.000984004,144,0.8750612633917001
